순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,100,60,38,2,0.612,0.0,7승0무3패,2패,29-1-19,31-1-19
2,삼성,102,59,41,2,0.59,2.0,3승0무7패,4패,29-1-19,30-1-22
3,LG,104,57,46,1,0.553,5.5,4승1무5패,1승,32-0-20,25-1-26
4,KIA,102,54,46,2,0.54,7.0,5승0무5패,2승,28-2-20,26-0-26
5,두산,103,53,46,4,0.535,7.5,6승1무3패,1패,29-2-20,24-2-26
6,한화,101,48,50,3,0.49,12.0,5승0무5패,1승,22-2-27,26-1-23
7,NC,98,45,51,2,0.469,14.0,3승1무6패,2승,25-0-27,20-2-24
8,롯데,103,45,56,2,0.446,16.5,5승0무5패,1승,19-0-30,26-2-26
9,SSG,106,41,61,4,0.402,21.0,5승0무5패,1패,21-3-29,20-1-32
10,키움,107,39,66,2,0.371,24.5,4승0무6패,1패,23-1-33,16-1-33
