순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,105,62,41,2,0.602,0.0,5승0무5패,2패,31-1-20,31-1-21
2,삼성,107,63,42,2,0.6,0.0,5승0무5패,1승,32-1-20,31-1-22
3,LG,109,60,48,1,0.556,4.5,5승0무5패,2승,35-0-22,25-1-26
4,KIA,109,59,48,2,0.551,5.0,7승0무3패,5승,30-2-22,29-0-26
5,두산,110,57,49,4,0.538,6.5,6승0무4패,1패,30-2-20,27-2-29
6,NC,103,47,54,2,0.465,14.0,5승0무5패,1승,26-0-29,21-2-25
7,롯데,108,49,57,2,0.462,14.5,7승0무3패,4승,23-0-31,26-2-26
8,한화,107,48,56,3,0.462,14.5,2승0무8패,6패,22-2-30,26-1-26
9,SSG,111,44,63,4,0.411,20.0,6승0무4패,1패,21-3-29,23-1-34
10,키움,113,40,71,2,0.36,26.0,2승0무8패,4패,23-1-33,17-1-38
