순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,123,73,47,3,0.608,0.0,7승0무3패,1패,36-1-23,37-2-24
2,KT,120,71,46,3,0.607,0.5,6승0무4패,2승,37-1-21,34-2-25
3,LG,124,68,55,1,0.553,6.5,5승0무5패,4패,38-0-27,30-1-28
4,KIA,122,66,54,2,0.55,7.0,6승0무4패,2패,36-2-23,30-0-31
5,두산,125,62,59,4,0.512,11.5,3승0무7패,2패,33-2-25,29-2-34
6,NC,118,56,60,2,0.483,15.0,8승0무2패,1승,29-0-32,27-2-28
7,한화,122,54,65,3,0.454,18.5,5승0무5패,5승,25-2-33,29-1-32
8,롯데,120,52,66,2,0.441,20.0,2승0무8패,1승,23-0-35,29-2-31
9,SSG,126,53,68,5,0.438,20.5,6승0무4패,1승,26-4-31,27-1-37
10,키움,128,45,80,3,0.36,30.5,3승0무7패,2승,27-2-40,18-1-40
