순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,110,65,42,3,0.607,0.0,5승1무4패,1승,32-1-21,33-2-21
2,삼성,114,67,44,3,0.604,0.0,6승1무3패,4승,32-1-21,35-2-23
3,KIA,114,62,50,2,0.554,5.5,8승0무2패,2승,32-2-22,30-0-28
4,LG,115,63,51,1,0.553,5.5,6승0무4패,1패,37-0-24,26-1-27
5,두산,114,59,51,4,0.536,7.5,5승0무5패,1패,31-2-21,28-2-30
6,NC,109,49,58,2,0.458,16.0,3승0무7패,1승,27-0-31,22-2-27
7,롯데,112,50,60,2,0.455,16.5,6승0무4패,3패,23-0-31,27-2-29
8,한화,112,49,60,3,0.45,17.0,1승0무9패,4패,23-2-31,26-1-29
9,SSG,117,48,64,5,0.429,19.5,6승1무3패,3승,24-4-30,24-1-34
10,키움,119,42,74,3,0.362,27.5,2승1무7패,2패,25-2-36,17-1-38
